详细地址,区域,房型,户型,租金,面积(m²),登记时间,详细信息
西城路2楼,龙港,套房,一室一厅一卫,15500元/年,40,[09-25],https://www.lgfdcw.com/cz/czdetail_73372.html
方岩新村5楼,龙港,套房,三房二厅二卫,22000元/年,125,[09-25],https://www.lgfdcw.com/cz/czdetail_73370.html
彩虹大道5楼厂房,龙港,厂房,一室,168000元/年,600,[09-25],https://www.lgfdcw.com/cz/czdetail_73369.html
纺织四街4楼 简单装修,龙港,套房,三房二厅二卫,16000元/年,100,[09-25],https://www.lgfdcw.com/cz/czdetail_73371.html
龙浦五街3楼,龙港,套房,三房二厅二卫,26000元/年,120,[09-25],https://www.lgfdcw.com/cz/czdetail_73368.html
沿江路4楼,龙港,套房,三房二厅二卫,20000元/年,130,[09-25],https://www.lgfdcw.com/cz/czdetail_73367.html
锦港嘉园25楼 简单装修,龙港,套房,一室一厅一卫,16000元/年,39,[09-25],https://www.lgfdcw.com/cz/czdetail_73366.html
锦港嘉园24楼 精装修,龙港,套房,一室一厅一卫,18000元/年,41,[09-25],https://www.lgfdcw.com/cz/czdetail_73364.html
银河家园3楼,龙港,套房,三房二厅二卫,27000元/年,110,[09-25],https://www.lgfdcw.com/cz/czdetail_73358.html
银河家园2楼,龙港,套房,三房二厅二卫,30000元/年,120,[09-25],https://www.lgfdcw.com/cz/czdetail_73365.html
柳南路5楼 简单装修,龙港,套房,三室一厅二卫,17000元/年,120,[09-25],https://www.lgfdcw.com/cz/czdetail_73357.html
凯宇花园16楼,龙港,套房,二室一厅一卫,27000元/年,90,[09-25],https://www.lgfdcw.com/cz/czdetail_73356.html
西六街厂房,龙港,厂房,一室,70000元/年,400,[09-25],https://www.lgfdcw.com/cz/czdetail_73355.html
永泰嘉园13楼 精装修,龙港,套房,三房二厅二卫,45000元/年,120,[09-25],https://www.lgfdcw.com/cz/czdetail_73354.html
新鸿嘉园16楼 精装修,龙港,套房,三房二厅二卫,36000元/年,120,[09-25],https://www.lgfdcw.com/cz/czdetail_73353.html
泰和路6楼,龙港,套房,二室一厅一卫,15000元/年,105,[09-25],https://www.lgfdcw.com/cz/czdetail_73352.html
环河路3楼 电梯房 办公装修,龙港,套房,四室二厅二卫,22000元/年,145,[09-25],https://www.lgfdcw.com/cz/czdetail_73351.html
置信城市花园3楼 精装修,龙港,套房,三房二厅二卫,42000元/年,135,[09-25],https://www.lgfdcw.com/cz/czdetail_73350.html
德雅花园5楼,龙港,套房,三房二厅二卫,32000元/年,120,[09-25],https://www.lgfdcw.com/cz/czdetail_73349.html
江湾新村1楼,龙港,套房,三房二厅二卫,13000元/年,100,[09-25],https://www.lgfdcw.com/cz/czdetail_73348.html
凯宇花园5楼,龙港,套房,二室一厅一卫,24000元/年,72,[09-25],https://www.lgfdcw.com/cz/czdetail_73347.html
华夏公寓1楼,龙港,套房,二室二厅一卫,18800元/年,90,[09-25],https://www.lgfdcw.com/cz/czdetail_73346.html
御珑景园 采光好通风,龙港,套房,四室二厅二卫二阳台,面议,120,[09-25],https://www.lgfdcw.com/cz/czdetail_84952.html
幸福住宅小区3区,龙港,套房,三室一厅一卫一阳台,11000元/月,118,[09-25],https://www.lgfdcw.com/cz/czdetail_85184.html
鼎盛大厦,龙港,套房,三房二厅二卫一阳台,30000元/年,174,[09-25],https://www.lgfdcw.com/cz/czdetail_85086.html
龙湖小区6楼精装,龙港,套房,三房二厅二卫一阳台,18800元/年,130,[09-25],https://www.lgfdcw.com/cz/czdetail_77750.html
锦港嘉园11楼,龙港,套房,三房二厅二卫,30000元/年,150,[09-25],https://www.lgfdcw.com/cz/czdetail_73345.html
红日海景19楼 豪装,龙港,套房,三房二厅二卫,45000元/年,168,[09-25],https://www.lgfdcw.com/cz/czdetail_73344.html
金钗街商铺,龙港,商铺,一室,28000元/年,110,[09-25],https://www.lgfdcw.com/cz/czdetail_73343.html
宏程路4楼 精装修,龙港,套房,三房二厅二卫,28000元/年,145,[09-25],https://www.lgfdcw.com/cz/czdetail_73342.html
鑫浦豪庭22楼,龙港,套房,三房二厅二卫,37000元/年,145,[09-25],https://www.lgfdcw.com/cz/czdetail_73341.html
桂花苑4楼,龙港,套房,三房二厅二卫,13000元/年,120,[09-25],https://www.lgfdcw.com/cz/czdetail_73340.html
时代大道厂房,龙港,厂房,一室,1115000元/年,3500,[09-25],https://www.lgfdcw.com/cz/czdetail_73339.html
蔡家街厂房,龙港,厂房,一室,382500元/年,1275,[09-25],https://www.lgfdcw.com/cz/czdetail_72278.html
黄河工业园厂房2楼 有围墙,龙港,厂房,一室,225000元/年,1000,[09-25],https://www.lgfdcw.com/cz/czdetail_72277.html
镇前路厂房1楼,龙港,厂房,一室,170000元/年,551,[09-25],https://www.lgfdcw.com/cz/czdetail_72276.html
西一街6楼,龙港,套房,三房二厅二卫,18500元/年,138,[09-25],https://www.lgfdcw.com/cz/czdetail_72274.html
泰安大厦4楼 中等装修,龙港,套房,三房二厅二卫二阳台,35000元/年,150,[09-25],https://www.lgfdcw.com/cz/czdetail_72273.html
华府公寓3楼 中等装修,龙港,套房,一室,23000元/年,65,[09-25],https://www.lgfdcw.com/cz/czdetail_72168.html
双园楼4楼 拎包入住 带电梯,龙港,套房,三房二厅二卫,31000元/年,120,[09-25],https://www.lgfdcw.com/cz/czdetail_72166.html
曙光工业园区厂房,龙港,厂房,一室,700000元/年,1960,[09-25],https://www.lgfdcw.com/cz/czdetail_72165.html
金瓯大厦3楼,龙港,套房,四室二厅二卫,32000元/年,167,[09-25],https://www.lgfdcw.com/cz/czdetail_72163.html
朝阳路落地房,龙港,民房,一室,35000元/年,0,[09-25],https://www.lgfdcw.com/cz/czdetail_72164.html
东城路2楼 中等装修,龙港,套房,一室,14000元/年,110,[09-25],https://www.lgfdcw.com/cz/czdetail_72161.html
龙湖路 店面,龙港,店面,一室,28000元/年,50,[09-25],https://www.lgfdcw.com/cz/czdetail_72160.html
康福公寓6楼 中等装修,龙港,套房,一室,20000元/年,80,[09-25],https://www.lgfdcw.com/cz/czdetail_72159.html
永兴街4楼 中等装修,龙港,套房,二室二厅一卫,22800元/年,90,[09-25],https://www.lgfdcw.com/cz/czdetail_72157.html
锦港嘉园11楼 精装修,龙港,套房,一室,30000元/年,47,[09-25],https://www.lgfdcw.com/cz/czdetail_72117.html
大道北街6楼 豪装,龙港,套房,三房二厅二卫,35000元/年,120,[09-25],https://www.lgfdcw.com/cz/czdetail_72929.html
西城路4楼 中等装修 拎包入住,龙港,套房,二室一厅一卫,18000元/年,80,[09-25],https://www.lgfdcw.com/cz/czdetail_72928.html
西一街5楼 小平方,龙港,套房,一室一厅一卫,16000元/月,60,[09-25],https://www.lgfdcw.com/cz/czdetail_72927.html
高兴路4楼,龙港,套房,一室,18500元/年,60,[09-25],https://www.lgfdcw.com/cz/czdetail_72926.html
西五街5楼,龙港,套房,一室,110000元/年,400,[09-25],https://www.lgfdcw.com/cz/czdetail_72925.html
锦港嘉园26楼,龙港,套房,一室一厅一卫,18888元/年,42,[09-25],https://www.lgfdcw.com/cz/czdetail_72924.html
西三街5楼 中等装修,龙港,套房,二室二厅一卫,26000元/年,70,[09-25],https://www.lgfdcw.com/cz/czdetail_72923.html
凯宇花园 中层 清水装修 拎包入住,龙港,套房,三室一厅二卫一阳台,22000元/年,116,[09-25],https://www.lgfdcw.com/cz/czdetail_85186.html
华府公寓8楼,龙港,套房,一室,27000元/年,60,[09-25],https://www.lgfdcw.com/cz/czdetail_72922.html
银苑大厦6楼 中等装修,龙港,套房,三房二厅二卫,35000元/年,158,[09-25],https://www.lgfdcw.com/cz/czdetail_72921.html
方岩大厦21楼 精装修,龙港,套房,二室二厅一卫,30000元/年,90,[09-25],https://www.lgfdcw.com/cz/czdetail_72920.html
东园楼6楼,龙港,套房,三室一厅二卫,18000元/年,110,[09-25],https://www.lgfdcw.com/cz/czdetail_72919.html
海港路6楼 中等装修,龙港,套房,三室一厅二卫,20000元/年,120,[09-25],https://www.lgfdcw.com/cz/czdetail_72918.html
西三街1楼,龙港,套房,一室一厅一卫,15000元/年,50,[09-25],https://www.lgfdcw.com/cz/czdetail_72917.html
御景公馆2楼,龙港,套房,四室二厅二卫,38000元/年,180,[09-25],https://www.lgfdcw.com/cz/czdetail_72916.html
江湾二街3楼 精装修,龙港,套房,一室一厅一卫,10000元/年,50,[09-25],https://www.lgfdcw.com/cz/czdetail_72915.html
兴贤路1楼 商铺,龙港,商铺,一室,18000元/年,50,[09-25],https://www.lgfdcw.com/cz/czdetail_72913.html
华府公寓3楼 精装修,龙港,套房,一室一厅一卫,25000元/年,54,[09-25],https://www.lgfdcw.com/cz/czdetail_72912.html
建民三街1楼,龙港,套房,一室一厅一卫,15000元/年,50,[09-25],https://www.lgfdcw.com/cz/czdetail_72914.html
河底高路1楼商铺,龙港,商铺,一室,33000元/年,200,[09-25],https://www.lgfdcw.com/cz/czdetail_72911.html
通港路1楼厂房,龙港,厂房,一室,250000元/年,1000,[09-25],https://www.lgfdcw.com/cz/czdetail_72910.html
龙湖路1楼商铺,龙港,商铺,一室,12000元/年,50,[09-25],https://www.lgfdcw.com/cz/czdetail_73687.html
西三街6楼,龙港,套房,二室二厅一卫,21000元/年,88,[09-25],https://www.lgfdcw.com/cz/czdetail_73686.html
金钗街1楼厂房,龙港,厂房,一室,245000元/年,700,[09-25],https://www.lgfdcw.com/cz/czdetail_72116.html
泰源锦园19楼 办公装修,龙港,套房,三房三厅二卫,30000元/年,143,[09-25],https://www.lgfdcw.com/cz/czdetail_73685.html
高鑫家园15楼,龙港,套房,三房二厅二卫,28000元/年,125,[09-25],https://www.lgfdcw.com/cz/czdetail_73684.html
鼎盛大厦4楼,龙港,套房,三房二厅二卫,36000元/年,156,[09-25],https://www.lgfdcw.com/cz/czdetail_73683.html
高鑫家园20楼,龙港,套房,三房二厅二卫,25000元/年,125,[09-25],https://www.lgfdcw.com/cz/czdetail_73682.html
西三街6楼 精装修,龙港,套房,二室二厅一卫,24000元/年,88,[09-25],https://www.lgfdcw.com/cz/czdetail_73680.html
锦绣名园 2楼有阳台 房东自住 清,龙港,套房,二室一厅一卫一阳台,23800元/月,108,[09-25],https://www.lgfdcw.com/cz/czdetail_85185.html
西三路80号601室套房出租,龙港,套房,三室一厅二卫一阳台,12000元/年,100,[09-25],https://www.lgfdcw.com/cz/czdetail_81982.html
南城路244号,龙港,套房,三室二厅二卫一阳台,14500元/年,110,[09-25],https://www.lgfdcw.com/cz/czdetail_82249.html
幸福住宅小区二区第3幢5楼,龙港,套房,三室一厅二卫一阳台,11000元/年,118,[09-25],https://www.lgfdcw.com/cz/czdetail_82946.html
锦港嘉园单身公寓边套免物业费,龙港,套房,一室一厅一卫,16880元/年,48,[09-25],https://www.lgfdcw.com/cz/czdetail_24478.html
纺织一街百一超市第四菜场,龙港,套房,一室一卫一阳台,500元/月,20,[09-25],https://www.lgfdcw.com/cz/czdetail_35880.html
纺织一街141号,龙港,套房,一室一卫一阳台,400元/月,15,[09-25],https://www.lgfdcw.com/cz/czdetail_82728.html
兴安街商铺,龙港,商铺,一室,面议,55,[09-24],https://www.lgfdcw.com/cz/czdetail_73679.html
海港路5楼,龙港,套房,三室一厅二卫,18000元/月,120,[09-24],https://www.lgfdcw.com/cz/czdetail_73678.html
华府公寓4楼 精装修,龙港,套房,一室一厅一卫,28000元/年,75,[09-24],https://www.lgfdcw.com/cz/czdetail_73677.html
金茂大厦4楼,龙港,套房,三房二厅二卫,32000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_73676.html
环河路1楼,龙港,套房,一室一厅一卫,12000元/年,23,[09-24],https://www.lgfdcw.com/cz/czdetail_73675.html
下水门,龙港,厂房,一室,40000元/年,250,[09-24],https://www.lgfdcw.com/cz/czdetail_73674.html
东方世贸13楼,龙港,套房,一室,35000元/年,52,[09-24],https://www.lgfdcw.com/cz/czdetail_73673.html
金浦大厦9楼,龙港,套房,三房二厅二卫,36000元/年,130,[09-24],https://www.lgfdcw.com/cz/czdetail_73672.html
镇前路6楼,龙港,套房,一室,8500元/年,100,[09-24],https://www.lgfdcw.com/cz/czdetail_73671.html
龙城银座17楼 办公装修,龙港,套房,三房二厅二卫,35000元/年,143,[09-24],https://www.lgfdcw.com/cz/czdetail_73670.html
金城花园2楼,龙港,套房,二室一厅一卫,14000元/年,90,[09-24],https://www.lgfdcw.com/cz/czdetail_73669.html
纺织三街4楼,龙港,套房,一室,15555元/年,60,[09-24],https://www.lgfdcw.com/cz/czdetail_73668.html
龙港大厦7楼,龙港,套房,三房二厅二卫,35000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_73667.html
西一街2楼,龙港,套房,一室,17000元/年,70,[09-24],https://www.lgfdcw.com/cz/czdetail_73665.html
纺织三街6楼,龙港,套房,一室,15555元/年,60,[09-24],https://www.lgfdcw.com/cz/czdetail_73664.html
站前路1楼,龙港,写字楼,一室,12000元/年,200,[09-24],https://www.lgfdcw.com/cz/czdetail_73663.html
高兴路5楼 精装修,龙港,套房,一室,18500元/年,60,[09-24],https://www.lgfdcw.com/cz/czdetail_73662.html
锦港嘉园24楼,龙港,套房,一室一厅一卫,15800元/月,35,[09-24],https://www.lgfdcw.com/cz/czdetail_73661.html
华府公寓1楼商铺,龙港,商铺,一室,100000元/年,1000,[09-24],https://www.lgfdcw.com/cz/czdetail_73660.html
沿江路2楼,龙港,套房,三房二厅二卫,15000元/年,110,[09-24],https://www.lgfdcw.com/cz/czdetail_73659.html
银河家园5楼,龙港,套房,三房二厅二卫,24000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_73658.html
凯宇花园17楼,龙港,套房,三房二厅二卫,12000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_73657.html
西一街2楼,龙港,套房,一室一厅一卫,10500元/年,50,[09-24],https://www.lgfdcw.com/cz/czdetail_73656.html
纺织三街1楼,龙港,写字楼,一室,22000元/年,170,[09-24],https://www.lgfdcw.com/cz/czdetail_73655.html
外滩嘉园5楼,龙港,套房,三房二厅二卫,28000元/年,139,[09-24],https://www.lgfdcw.com/cz/czdetail_73654.html
港河路2楼 简单装修,龙港,套房,三房二厅二卫,24000元/年,110,[09-24],https://www.lgfdcw.com/cz/czdetail_73653.html
银河家园2楼 简单装修,龙港,套房,三房二厅二卫,22000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_73652.html
柳南路7楼,龙港,套房,三房二厅二卫,13500元/年,110,[09-24],https://www.lgfdcw.com/cz/czdetail_73651.html
西城路1楼,龙港,套房,一室,42000元/年,50,[09-24],https://www.lgfdcw.com/cz/czdetail_73650.html
江滨商住楼4楼,龙港,套房,三房二厅二卫,20000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_73649.html
康福公寓6楼 带电梯 拎包入住,龙港,套房,二室一厅一卫一阳台,20000元/年,100,[09-24],https://www.lgfdcw.com/cz/czdetail_72114.html
西五街2楼,龙港,套房,三房二厅二卫,22000元/年,110,[09-24],https://www.lgfdcw.com/cz/czdetail_73648.html
中梁半岛2楼,龙港,套房,四室二厅二卫,30000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_73647.html
仪邦大厦22楼,龙港,套房,一室一厅一卫,27500元/年,50,[09-24],https://www.lgfdcw.com/cz/czdetail_73646.html
世纪大道厂房,龙港,厂房,一室,315000元/年,1500,[09-24],https://www.lgfdcw.com/cz/czdetail_72115.html
锦港嘉园22楼,龙港,套房,一室,18000元/年,47,[09-24],https://www.lgfdcw.com/cz/czdetail_72112.html
锦港嘉园18楼,龙港,套房,一室,18800元/年,47,[09-24],https://www.lgfdcw.com/cz/czdetail_72110.html
世纪银河(天洋大厦)7楼,龙港,套房,一室,30000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_72109.html
长运大厦4楼,龙港,套房,一室,26000元/年,165,[09-24],https://www.lgfdcw.com/cz/czdetail_72106.html
新湖绿都北苑5楼,龙港,套房,一室,22000元/年,137,[09-24],https://www.lgfdcw.com/cz/czdetail_72105.html
红旗大厦18楼 家电齐全,龙港,套房,三房二厅二卫,28000元/年,145,[09-24],https://www.lgfdcw.com/cz/czdetail_72103.html
锦港嘉园11楼 精装修,龙港,套房,一室,24000元/年,40,[09-24],https://www.lgfdcw.com/cz/czdetail_72101.html
规划一路3楼,龙港,厂房,一室,78000元/年,490,[09-24],https://www.lgfdcw.com/cz/czdetail_72100.html
龙湖路7楼 中装,龙港,套房,一室,15000元/年,50,[09-24],https://www.lgfdcw.com/cz/czdetail_72098.html
长运大厦17楼,龙港,套房,四室二厅二卫一阳台,32000元/年,165,[09-24],https://www.lgfdcw.com/cz/czdetail_72097.html
华百广场19楼 拎包入住,龙港,套房,四室二厅二卫一阳台,33800元/年,178,[09-24],https://www.lgfdcw.com/cz/czdetail_72096.html
西联小区1楼,龙港,套房,一室,15000元/年,50,[09-24],https://www.lgfdcw.com/cz/czdetail_72094.html
高科路3楼厂房,龙港,厂房,一室,650000元/年,2500,[09-24],https://www.lgfdcw.com/cz/czdetail_73324.html
沿河北路3楼 简单装修,龙港,套房,一室一厅一卫,16000元/年,65,[09-24],https://www.lgfdcw.com/cz/czdetail_73323.html
方岩大厦22楼,龙港,套房,二室一厅一卫,28000元/年,86,[09-24],https://www.lgfdcw.com/cz/czdetail_73322.html
钱库镇龙船铮（龙华家园〉,龙港,套房,三室一厅二卫一阳台,6500元/年,130,[09-24],https://www.lgfdcw.com/cz/czdetail_80868.html
★逸合城★ 精装修 好楼层边套 1,龙港,套房,一室二卫一阳台,30000元/年,123,[09-24],https://www.lgfdcw.com/cz/czdetail_82924.html
★金誉府★ 好楼层 全新装修 整套,龙港,套房,三室二厅二卫一阳台,30000元/年,100,[09-24],https://www.lgfdcw.com/cz/czdetail_78311.html
人民路东城路附近 小套房 新装修,龙港,套房,一室一厅一卫,6800元/年,20,[09-24],https://www.lgfdcw.com/cz/czdetail_82724.html
★世纪大道云栖园★全新精装修 配,龙港,套房,三室二厅二卫二阳台,40000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_72131.html
天阳世新名邸 高端小区 全新装修,龙港,套房,一室二卫二阳台,42000元/年,116,[09-24],https://www.lgfdcw.com/cz/czdetail_82552.html
高鑫家园 全新装修 好楼层急出租,龙港,套房,二室一厅一卫一阳台,33000元/年,70,[09-24],https://www.lgfdcw.com/cz/czdetail_81747.html
★华鸿中央公园★ 好楼层 全新装,龙港,套房,一室二卫一阳台,23800元/年,95,[09-24],https://www.lgfdcw.com/cz/czdetail_82765.html
★浦后路★人民路附近 4楼新装修,龙港,套房,三室二厅一卫一阳台,20000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_81978.html
出租★东方世贸★ 自住精装修 共,龙港,套房,三房二厅二卫二阳台,35800元/年,60,[09-24],https://www.lgfdcw.com/cz/czdetail_83212.html
★龙洲路★菜市场附近2、3楼套房,龙港,套房,一室二卫一阳台,16000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_82976.html
东城路正街店面2.2米高，7米长出,龙港,套房,一室,16800元/年,28,[09-24],https://www.lgfdcw.com/cz/czdetail_83071.html
★锦象公寓★ 人民路世纪大道旁,龙港,套房,二室一厅一卫一阳台,22000元/年,70,[09-24],https://www.lgfdcw.com/cz/czdetail_82054.html
★国发花园★带装修出租 家电家具,龙港,套房,一室二卫一阳台,18000元/年,130,[09-24],https://www.lgfdcw.com/cz/czdetail_84115.html
★松涛嘉园★好楼层  95平方 毛坯,龙港,套房,三房二厅一卫一阳台,15000元/年,95,[09-24],https://www.lgfdcw.com/cz/czdetail_84122.html
★兴翔景园★好楼层 精装修 2房一,龙港,套房,二室一厅一卫一阳台,23800元/年,80,[09-24],https://www.lgfdcw.com/cz/czdetail_84076.html
★龙港市★ 灵龙大道旁 二河村 3,龙港,民房,四室一厅一卫一阳台,8000元/年,150,[09-24],https://www.lgfdcw.com/cz/czdetail_83888.html
★云栖园★ 中层全新装修 3房2厅,龙港,套房,一室二卫一阳台,33000元/年,100,[09-24],https://www.lgfdcw.com/cz/czdetail_83518.html
★龙华街★3/4楼 落地房 新装修,龙港,套房,一室一厅一卫一阳台,1100元/月,50,[09-24],https://www.lgfdcw.com/cz/czdetail_83886.html
★站港嘉园★电梯房 高楼层 135平,龙港,套房,三房二厅二卫一阳台,28000元/年,135,[09-24],https://www.lgfdcw.com/cz/czdetail_83589.html
★君悦嘉里★ 全新装修 一房一卫,龙港,套房,一室一卫一阳台,880元/月,50,[09-24],https://www.lgfdcw.com/cz/czdetail_83434.html
★荣御府★3房2厅2卫 普通装修 拎,龙港,套房,三室二厅二卫一阳台,26000元/年,129,[09-24],https://www.lgfdcw.com/cz/czdetail_72129.html
★华鸿中央城南苑★ 中间楼层 99,龙港,套房,一室二卫一阳台,1000元/月,99,[09-24],https://www.lgfdcw.com/cz/czdetail_83275.html
★东方世贸★2楼共有3层 还有大露,龙港,套房,三室三厅二卫一阳台,32800元/年,138,[09-24],https://www.lgfdcw.com/cz/czdetail_83230.html
★悦澜湾★好楼层 新装修 2房一厅,龙港,套房,二室一厅一卫一阳台,22000元/年,60,[09-24],https://www.lgfdcw.com/cz/czdetail_83167.html
华鸿中央原墅 好楼层 全新装修 1,龙港,套房,一室一卫一阳台,14000元/年,60,[09-24],https://www.lgfdcw.com/cz/czdetail_83087.html
★东城路★繁华地段 一楼正街店面,龙港,套房,一室一卫,2800元/月,50,[09-24],https://www.lgfdcw.com/cz/czdetail_83084.html
★方北村★龙巴线旁 2楼边套 毛坯,龙港,套房,一室二卫一阳台,8000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_81003.html
★天和景园★ 3房2厅2卫 5楼出租,龙港,套房,一室二卫二阳台,26800元/年,90,[09-24],https://www.lgfdcw.com/cz/czdetail_76374.html
★象北住宅区★ 4楼套房出租 交通,龙港,套房,二室二厅二卫一阳台,18800元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_67969.html
★世纪大道★ 君悦嘉里 黄金地段,龙港,套房,一室一卫一阳台,1200元/月,60,[09-24],https://www.lgfdcw.com/cz/czdetail_75513.html
★龙新嘉园★ 4楼电梯房 办公装修,龙港,套房,三房二厅二卫一阳台,8000元/年,115,[09-24],https://www.lgfdcw.com/cz/czdetail_85183.html
锦港嘉园8楼,龙港,套房,三房二厅二卫,32000元/年,152,[09-24],https://www.lgfdcw.com/cz/czdetail_73321.html
龙城银座1楼商铺,龙港,商铺,一室,60000元/年,75,[09-24],https://www.lgfdcw.com/cz/czdetail_73320.html
站港大道5楼,龙港,套房,三房二厅二卫,22000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_73319.html
东方世贸商铺,龙港,商铺,一室,38000元/年,47.68,[09-24],https://www.lgfdcw.com/cz/czdetail_73317.html
置信名都18楼 精装修,龙港,套房,三房二厅二卫,45000元/年,180,[09-24],https://www.lgfdcw.com/cz/czdetail_73316.html
柳南路3楼 中等装修,龙港,套房,三房二厅二卫,28000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_73318.html
大道北街7楼 中等装修,龙港,套房,三房二厅二卫,18000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_73315.html
人民路5楼,龙港,套房,三房二厅二卫,19500元/年,110,[09-24],https://www.lgfdcw.com/cz/czdetail_73314.html
西二公寓4楼,龙港,套房,三房二厅二卫,26000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_73313.html
港河路5楼 中等装修,龙港,套房,三房二厅二卫,21000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_73312.html
能科工业区4楼厂房,龙港,厂房,一室,170000元/年,1000,[09-24],https://www.lgfdcw.com/cz/czdetail_73311.html
振兴路7楼 家电齐全,龙港,套房,三房二厅二卫,20000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_73310.html
振兴路3楼,龙港,套房,三房二厅二卫,23000元/年,130,[09-24],https://www.lgfdcw.com/cz/czdetail_73309.html
西园楼8楼,龙港,套房,三房二厅二卫,36000元/年,150,[09-24],https://www.lgfdcw.com/cz/czdetail_73308.html
广电大厦22楼,龙港,套房,三房二厅二卫,31000元/年,148,[09-24],https://www.lgfdcw.com/cz/czdetail_73307.html
锦绣名苑6楼,龙港,套房,四室二厅二卫,18000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_73306.html
云锦大楼2楼,龙港,套房,三室一厅二卫,21000元/年,100,[09-24],https://www.lgfdcw.com/cz/czdetail_73305.html
池浦路4楼 精装修,龙港,套房,三房二厅二卫一阳台,22000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_72093.html
新雅工业区,龙港,厂房,一室,228000元/年,600,[09-24],https://www.lgfdcw.com/cz/czdetail_72091.html
仪邦大厦22楼 精装修,龙港,套房,一室,27500元/年,50,[09-24],https://www.lgfdcw.com/cz/czdetail_72089.html
购物中心1楼,龙港,店面,一室,180000元/年,60,[09-24],https://www.lgfdcw.com/cz/czdetail_72090.html
东方世贸7楼,龙港,套房,一室,25000元/年,52,[09-24],https://www.lgfdcw.com/cz/czdetail_72020.html
龙港新城发展路与兴业路交叉口厂,龙港,厂房,一室,496000元/年,2480,[09-24],https://www.lgfdcw.com/cz/czdetail_72529.html
柳江路商铺1楼,龙港,商铺,一室,32000元/年,110,[09-24],https://www.lgfdcw.com/cz/czdetail_72528.html
锦港嘉园17楼 精装修,龙港,套房,一室一厅一卫一阳台,18000元/年,43,[09-24],https://www.lgfdcw.com/cz/czdetail_72527.html
锦港嘉园20楼 豪装,龙港,套房,一室,20000元/年,35,[09-24],https://www.lgfdcw.com/cz/czdetail_72525.html
港河路7楼,龙港,套房,三房二厅二卫,21600元/年,135,[09-24],https://www.lgfdcw.com/cz/czdetail_72524.html
礼品城4楼,龙港,套房,一室,20000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_72523.html
兴利嘉园1楼,龙港,套房,一室,45000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_72522.html
镇前路2楼,龙港,套房,一室,9500元/年,60,[09-24],https://www.lgfdcw.com/cz/czdetail_72521.html
泰安路1楼,龙港,套房,一室,35000元/年,35,[09-24],https://www.lgfdcw.com/cz/czdetail_72520.html
博金银苑2楼,龙港,套房,三房二厅二卫一阳台,30000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_72519.html
西三街6楼,龙港,套房,四室二厅二卫二阳台,28000元/年,166,[09-24],https://www.lgfdcw.com/cz/czdetail_72518.html
镇安路1楼,龙港,套房,一室,14000元/年,60,[09-24],https://www.lgfdcw.com/cz/czdetail_73644.html
中环大厦25楼,龙港,套房,三房二厅二卫,38000元/年,160,[09-24],https://www.lgfdcw.com/cz/czdetail_73643.html
港河路6楼,龙港,套房,三室一厅二卫,20000元/年,120,[09-24],https://www.lgfdcw.com/cz/czdetail_73645.html
凯宇花园7楼,龙港,套房,二室二厅一卫,32000元/年,89,[09-24],https://www.lgfdcw.com/cz/czdetail_73642.html
西一街7楼,龙港,套房,三房二厅二卫,28000元/年,140,[09-24],https://www.lgfdcw.com/cz/czdetail_73641.html
金茂大厦9楼 办公装修,龙港,套房,三房二厅二卫,50000元/年,200,[09-24],https://www.lgfdcw.com/cz/czdetail_73640.html
公园壹号6楼,龙港,套房,三房二厅二卫,18000元/年,136,[09-24],https://www.lgfdcw.com/cz/czdetail_73639.html
国发花园1楼,龙港,套房,一室,20000元/年,73,[09-24],https://www.lgfdcw.com/cz/czdetail_73638.html
联建公寓4楼,龙港,套房,三室一厅二卫,24000元/年,150,[09-24],https://www.lgfdcw.com/cz/czdetail_73637.html
锦港嘉园10楼 中等装修,龙港,套房,一室,26000元/年,53,[09-24],https://www.lgfdcw.com/cz/czdetail_73636.html
西五街1楼,龙港,写字楼,一室,180000元/年,455,[09-24],https://www.lgfdcw.com/cz/czdetail_73635.html
